[   86.98351261  -157.24197991  1069.14949229],[   99.56120307  -151.30503773  1020.09151295],[ 111.77480342 -145.27783253  971.12650231]
[   87.36362114  -158.20280681  1073.34556874],[  171.00652356  -163.19689106  1136.12087617],[  267.46657854  -159.25112784  1113.20148538]
[   87.20265485  -158.09313313  1073.62294804],[   1.03535912 -136.69129647  890.90470182],[ -78.35956912 -118.28452703  721.17722975]
